location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Eagle Academy for Young Men of Harlem,M148,I.S. 136 - MANHATTAN,M136,6 EDGECOMBE AVENUE MANHATTAN 10030,Yes,"Yes, in 2002",Yes,2005,0,16,
KAPPA IV,M302,I.S. 136 - MANHATTAN,M136,6 EDGECOMBE AVENUE MANHATTAN 10030,Yes,"Yes, in 2002",Yes,2005,0,16,
Mott Hall High School,M304,I.S. 136 - MANHATTAN,M136,6 EDGECOMBE AVENUE MANHATTAN 10030,Yes,"Yes, in 2002",Yes,2005,0,16,
P.S. 184m Shuang Wen,M184,P.S. 137 - MANHATTAN,M137,327 CHERRY STREET MANHATTAN 10002,Yes,No,No,,,,
P.S. 140 Nathan Straus,M140,P.S. 140 - MANHATTAN,M140,123 RIDGE STREET MANHATTAN 10002,Yes,"Yes, in 2002",Yes,2004,0,38,
EDUCATIONAL ALLIANCE HEAD START AT PS 142,MAZS,P.S. 142 - MANHATTAN,M142,100 ATTORNEY STREET MANHATTAN 10002,Yes,"Yes, in 2002",Yes,2004,0,18,Separate testing for Pre-K site had no elevated result
Manhattan Charter School,M320,P.S. 142 - MANHATTAN,M142,100 ATTORNEY STREET MANHATTAN 10002,Yes,"Yes, in 2002",Yes,2004,0,18,Separate testing for Pre-K site had no elevated result
P.S. 142 Amalia Castro,M142,P.S. 142 - MANHATTAN,M142,100 ATTORNEY STREET MANHATTAN 10002,Yes,"Yes, in 2002",Yes,2004,0,18,Separate testing for Pre-K site had no elevated result
J.H.S. 143 Eleanor Roosevelt,M143,I.S. 143 - MANHATTAN,M143,511 WEST 182ND STREET MANHATTAN 10033,Yes,No,No,,,,
Washington Heights Expeditionary Learning School,M348,I.S. 143 - MANHATTAN,M143,511 WEST 182ND STREET MANHATTAN 10033,Yes,No,No,,,,
P.S. 242 - The Young Diplomats Magnet Academy,M242,P.S. 242 (OLD P144) - MANHATTAN,M144,134 WEST 122 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,49,
Future Leaders Institute Charter School,M861,P.S. 242 (OLD P144) - MANHATTAN,M144,134 WEST 122 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,49,
"P.S. 145, The Bloomingdale School",M145,P.S. 145 - MANHATTAN,M145,150 WEST 105 STREET MANHATTAN 10025,Yes,No,No,,,,
West Prep Academy,M421,P.S. 145 - MANHATTAN,M145,150 WEST 105 STREET MANHATTAN 10025,Yes,No,No,,,,
P.S. 146 Ann M. Short,M146,P.S. 146 - MANHATTAN,M146,421 EAST 106 STREET MANHATTAN 10029,Yes,"Yes, in 2002",Yes,2005,0,38,
P.S. M169 - Robert F. Kennedy,M169,P.S. 146 - MANHATTAN,M146,421 EAST 106 STREET MANHATTAN 10029,Yes,"Yes, in 2002",Yes,2005,0,38,
P.S. 149 Sojourner Truth,M149,P.S. 149 (TANDEM M207) - MANHATTAN,M149,34 WEST 118 STREET MANHATTAN 10026,Yes,No,Yes,,,,
P.S. M811 - Mickey Mantle School,M811,P.S. 149 (TANDEM M207) - MANHATTAN,M149,34 WEST 118 STREET MANHATTAN 10026,Yes,No,Yes,,,,
Success Academy Charter School - Harlem 1,M351,P.S. 149 (TANDEM M207) - MANHATTAN,M149,34 WEST 118 STREET MANHATTAN 10026,Yes,No,Yes,,,,
Children's Aid at P.S. 152,MAUK,P.S. 152 - MANHATTAN,M152,93 NAGLE AVENUE MANHATTAN 10040,Yes,No,Yes,,,,Separate testing for Pre-K site had an elevated result
P.S. 152 Dyckman Valley,M152,P.S. 152 - MANHATTAN,M152,93 NAGLE AVENUE MANHATTAN 10040,Yes,No,Yes,,,,Separate testing for Pre-K site had an elevated result
P.S. 153 Adam Clayton Powell,M153,P.S. 153 - MANHATTAN,M153,1750 AMSTERDAM AVENUE MANHATTAN 10031,Yes,No,No,,,,
Hamilton Heights School,M368,P.S. 153 - MANHATTAN,M153,1750 AMSTERDAM AVENUE MANHATTAN 10031,Yes,No,No,,,,
Democracy Prep Endurance Charter School,M065,P.S. 154 - MANHATTAN,M154,250 WEST 127 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,56,
P.S. 154 Harriet Tubman,M154,P.S. 154 - MANHATTAN,M154,250 WEST 127 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,56,
P.S. 155 William Paca,M155,P.S. 155 - MANHATTAN,M155,319 EAST 117 STREET MANHATTAN 10035,Yes,No,No,,,,
Renaissance School of the Arts,M377,P.S. 155 - MANHATTAN,M155,319 EAST 117 STREET MANHATTAN 10035,Yes,No,No,,,,
P.S. 158 Bayard Taylor,M158,P.S. 158 - MANHATTAN,M158,1458 YORK AVENUE MANHATTAN 10075,Yes,No,No,,,,
Yorkville East Middle School,M177,P.S. 158 - MANHATTAN,M158,1458 YORK AVENUE MANHATTAN 10075,Yes,No,No,,,,
P.S. 161 Pedro Albizu Campos,M161,P.S. 161 - MANHATTAN,M161,499 WEST 133 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,45,
P.S. 163 Alfred E. Smith,M163,P.S. 163 - MANHATTAN,M163,163 WEST  97 STREET MANHATTAN 10025,Yes,No,No,,,,
P.S. M811 - Mickey Mantle School,M811,P.S. 163 - MANHATTAN,M163,163 WEST  97 STREET MANHATTAN 10025,Yes,No,No,,,,
M.S. 328 - Manhattan Middle School for Scientific Inquiry,M328,I.S. 164 - MANHATTAN,M164,401 WEST 164 STREET MANHATTAN 10032,Yes,"Yes, in 2002",Yes,2005,0,11,
M.S. 326 - Writers Today & Leaders Tomorrow,M326,I.S. 164 - MANHATTAN,M164,401 WEST 164 STREET MANHATTAN 10032,Yes,"Yes, in 2002",Yes,2005,0,11,
Mott Hall II,M862,P.S. 165 - MANHATTAN,M165,234 WEST 109 STREET MANHATTAN 10025,Yes,No,No,,,,
P.S. 165 Robert E. Simon,M165,P.S. 165 - MANHATTAN,M165,234 WEST 109 STREET MANHATTAN 10025,Yes,No,No,,,,
P.S. 166 The Richard Rodgers School of The Arts and Technology,M166,P.S. 166 - MANHATTAN,M166,132 WEST  89 STREET MANHATTAN 10024,Yes,"Yes, in 2002",Yes,2005,0,46,
J.H.S. 167 Robert F. Wagner,M167,I.S. 167 - MANHATTAN,M167,220 EAST  76 STREET MANHATTAN 10021,Yes,No,No,,,,
P.S. M169 - Robert F. Kennedy,M169,P.S. 169 (ECF) - MANHATTAN,M169,110 EAST  88 STREET MANHATTAN 10128,Yes,No,Yes,,,,
Amber Charter School,M705,AMBER CHARTER BUILDING,M170,220 EAST 106 STREET MANHATTAN 10029,,,,,,,Charter managed facility. More information to come.
P.S. 171 Patrick Henry,M171,P.S. 171 - MANHATTAN,M171,19 EAST 103 STREET MANHATTAN 10029,Yes,No,No,,,,
Central Park East II,M964,P.S. 171 - MANHATTAN,M171,19 EAST 103 STREET MANHATTAN 10029,Yes,No,No,,,,
P.S. 173,M173,P.S. 173 - MANHATTAN,M173,306 FORT WASHINGTON AVENUE MANHATTAN 10033,Yes,"Yes, in 2002",Yes,2005,0,23,
Harbor Heights,M349,P.S. 173 - MANHATTAN,M173,306 FORT WASHINGTON AVENUE MANHATTAN 10033,Yes,"Yes, in 2002",Yes,2005,0,23,
P.S. 175 Henry H Garnet,M175,P.S. 175 - MANHATTAN,M175,175 WEST 134 STREET MANHATTAN 10030,Yes,No,No,,,,
Success Academy Charter School - Harlem 5,M482,P.S. 175 - MANHATTAN,M175,175 WEST 134 STREET MANHATTAN 10030,Yes,No,No,,,,
Muscota,M314,P.S./I.S. 176 - MANHATTAN,M176,4862 BROADWAY MANHATTAN 10034,Yes,No,No,,,,
