location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Universal Pre-K C.B.O.,K72A,MOST PRECIOUS BLOOD SCHOOL,KAHO,133 27 AVENUE BROOKLYN 11214,Yes,No,N/A,,,,
Block Institute,KBAE,MOST PRECIOUS BLOOD SCHOOL,KAHO,133 27 AVENUE BROOKLYN 11214,Yes,No,N/A,,,,
Block Academy,KCGS,MOST PRECIOUS BLOOD SCHOOL,KAHO,133 27 AVENUE BROOKLYN 11214,Yes,No,N/A,,,,
Mount Roraima Grammar,KAHR,MOUNT RORAIMA GRAMMAR,KAHR,1405 BUSHWICK AVENUE BROOKLYN 11207,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K732,MOUNT RORAIMA GRAMMAR,KAHR,1405 BUSHWICK AVENUE BROOKLYN 11207,Yes,No,N/A,,,,
Urban Strategies Child Care,KCIL,MOUNT RORAIMA GRAMMAR,KAHR,1405 BUSHWICK AVENUE BROOKLYN 11207,Yes,No,N/A,,,,
Birch Family Services,KCGP,NAZARETH REGIONAL HIGH SCHOOL,KAHS,475 EAST  57 STREET BROOKLYN 11203,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K718,NAZARETH REGIONAL HIGH SCHOOL,KAHS,475 EAST  57 STREET BROOKLYN 11203,Yes,No,N/A,,,,
Nazareth Regional High School,KAHS,NAZARETH REGIONAL HIGH SCHOOL,KAHS,475 EAST  57 STREET BROOKLYN 11203,Yes,No,N/A,,,,
The Herbert G. Birch School,QAHP,NAZARETH REGIONAL HIGH SCHOOL,KAHS,475 EAST  57 STREET BROOKLYN 11203,Yes,No,N/A,,,,
New Hope Christian Academy/Gateway Academy,KAHX,GATEWAY CITY ACADEMY,KAHX,257 BAY RIDGE AVENUE BROOKLYN 11220,,,,,,,Information to come
Universal Pre-K C.B.O.,K720,GATEWAY CITY ACADEMY,KAHX,257 BAY RIDGE AVENUE BROOKLYN 11220,,,,,,,Information to come
Phyls Academy,KAIN,PHYLS ACADEMY,KAIN,3520 TILDEN AVENUE BROOKLYN 11203,,,,,,,Information to come
Universal Pre-K C.B.O.,K717,PHYLS ACADEMY,KAIN,3520 TILDEN AVENUE BROOKLYN 11203,,,,,,,Information to come
"Prospect Park Yeshiva, Inc.",KAIT,"PROSPECT PARK YESHIVA, INC.",KAIT,1784 EAST  17 STREET BROOKLYN 11229,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,"PROSPECT PARK YESHIVA, INC.",KAIT,1784 EAST  17 STREET BROOKLYN 11229,,,,,,,Information to come
Saint Anselm Catholic Academy,KAJD,SAINT ANSELM SCHOOL,KAJD,83RD STREET & 4TH AVENUE BROOKLYN 11209,,,,,,,Information to come
Saint Athanasius School,KAJE,SAINT ATHANASIUS SCHOOL,KAJE,6120 BAY PARKWAY BROOKLYN 11204,,,,,,,Information to come
Universal Pre-K C.B.O.,K72A,SAINT ATHANASIUS SCHOOL,KAJE,6120 BAY PARKWAY BROOKLYN 11204,,,,,,,Information to come
SAINT FRANCIS XAVIER CATHOLIC ACADEMY,KAJF,SAINT AUGUSTINE SAINT FRANCIS XAVIER,KAJF,763 PRESIDENT STREET BROOKLYN 11215,Yes,No,N/A,,,,
St. Francis Xavier,KAZM,SAINT AUGUSTINE SAINT FRANCIS XAVIER,KAJF,763 PRESIDENT STREET BROOKLYN 11215,Yes,No,N/A,,,,
HUGGS DAY SCHOOL,KCEX,SAINT AUGUSTINE SAINT FRANCIS XAVIER,KAJF,763 PRESIDENT STREET BROOKLYN 11215,Yes,No,N/A,,,,
Bushwick Ascend Charter School,K793,SAINT ELIZABETH SETON SCHOOL,KAJP,751 KNICKERBOCKER AVENUE BROOKLYN 11221,,,,,,,Charter managed facility. More information to come.
HEARTSHARE HUMAN SERVICES OF NEW YORK,KAJR,HEARTSHARE HUMAN SERVICES OF NEW YORK,KAJR,1825 BATH AVENUE BROOKLYN 11214,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K720,HEARTSHARE HUMAN SERVICES OF NEW YORK,KAJR,1825 BATH AVENUE BROOKLYN 11214,Yes,No,N/A,,,,
Brooklyn Scholars Charter School,K740,SAINT FORTUNATA SCHOOL,KAJS,2635 LINDEN BOULEVARD BROOKLYN 11208,,,,,,,Charter managed facility. More information to come.
Saint Frances Cabrini Catholic Academy,KAJT,SAINT FRANCES CABRINI SCHOOL,KAJT,181 SUYDAM STREET BROOKLYN 11221,,,,,,,Information to come
Universal Pre-K C.B.O.,K732,SAINT FRANCES CABRINI SCHOOL,KAJT,181 SUYDAM STREET BROOKLYN 11221,,,,,,,Information to come
Saint Francis of Assisi Catholic Academy,KAJW,SAINT FRANCIS OF ASSISI SCHOOL,KAJW,400 LINCOLN ROAD BROOKLYN 11225,,,,,,,Information to come
Universal Pre-K C.B.O.,K717,SAINT FRANCIS OF ASSISI SCHOOL,KAJW,400 LINCOLN ROAD BROOKLYN 11225,,,,,,,Information to come
Bedford Stuyvesant New Beginnings Charter School,K782,SAINT JOHN THE BAPTIST SCHOOL,KAKB,82 LEWIS AVENUE BROOKLYN 11206,,,,,,,Charter managed facility. More information to come.
Saint Mark School,KAKF,SAINT MARK SCHOOL,KAKF,2602 EAST  19 STREET BROOKLYN 11235,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,SAINT MARK SCHOOL,KAKF,2602 EAST  19 STREET BROOKLYN 11235,,,,,,,Information to come
ST. PETER CATHOLIC ACADEMY,KAKI,"st. mary, mother at jesus/st. frances cabrini acad",KAKI,8401 23 AVENUE BROOKLYN 11214,,,,,,,Information to come
Universal Pre-K C.B.O.,K72A,"st. mary, mother at jesus/st. frances cabrini acad",KAKI,8401 23 AVENUE BROOKLYN 11214,,,,,,,Information to come
Imagine Me Leadership Charter School,K785,SAINT PAUL COMM CHRISTIAN SCHOOL,KAKM,818 SCHENCK AVENUE BROOKLYN 11207,,,,,,,Charter managed facility. More information to come.
Brooklyn Dreams Charter School,K791,SAINT ROSE OF LIMA SCHOOL,KAKO,259 PARKVILLE AVENUE BROOKLYN 11230,,,,,,,Charter managed facility. More information to come.
Spring Creek Development Center,KALK,SPRING CREEK DEVELOPMENT CENTER,KALK,888 FOUNTAIN AVENUE BROOKLYN 11208,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K719,SPRING CREEK DEVELOPMENT CENTER,KALK,888 FOUNTAIN AVENUE BROOKLYN 11208,Yes,No,N/A,,,,
Brooklyn Developmental Center,KBEQ,SPRING CREEK DEVELOPMENT CENTER,KALK,888 FOUNTAIN AVENUE BROOKLYN 11208,Yes,No,N/A,,,,
"BROOKLYN DEVELOPMENT CENTER EARLY CHILDHOOD SERVICES, INC.",KBOY,SPRING CREEK DEVELOPMENT CENTER,KALK,888 FOUNTAIN AVENUE BROOKLYN 11208,Yes,No,N/A,,,,
The Cheder School,KALT,THE CHEDER SCHOOL,KALT,129 ELMWOOD AVENUE BROOKLYN 11230,,,,,,,Information to come
Universal Pre-K C.B.O.,K72A,THE CHEDER SCHOOL,KALT,129 ELMWOOD AVENUE BROOKLYN 11230,,,,,,,Information to come
Tomer Dvora School,KAMC,TOMER DVORA SCHOOL,KAMC,4500 9 AVENUE BROOKLYN 11220,Yes,No,N/A,,,,
BAbove 46,KBDX,TOMER DVORA SCHOOL,KAMC,4500 9 AVENUE BROOKLYN 11220,Yes,No,N/A,,,,
United Lubavitcher Yeshiva,KAMI,UNITED LUBAVITCHER YESHIVA,KAMI,570 CROWN STREET BROOKLYN 11213,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K717,UNITED LUBAVITCHER YESHIVA,KAMI,570 CROWN STREET BROOKLYN 11213,Yes,No,N/A,,,,
BAbove 37,KBJE,UNITED LUBAVITCHER YESHIVA,KAMI,570 CROWN STREET BROOKLYN 11213,Yes,No,N/A,,,,
CONGREGATION MACHNA SHALVA Site 2,KANL,CONGREGATION MACHNA SHALVA,KANL,1363 50 STREET BROOKLYN 11219,,,,,,,Information to come
Universal Pre-K C.B.O.,K720,CONGREGATION MACHNA SHALVA,KANL,1363 50 STREET BROOKLYN 11219,,,,,,,Information to come
Congregation Machna  Shalva,KBIZ,CONGREGATION MACHNA SHALVA,KANL,1363 50 STREET BROOKLYN 11219,,,,,,,Information to come
CONGREGATION MACHNA SHALVA SITE 3,KBUT,CONGREGATION MACHNA SHALVA,KANL,1363 50 STREET BROOKLYN 11219,,,,,,,Information to come
BAbove 42,KBXX,CONGREGATION MACHNA SHALVA,KANL,1363 50 STREET BROOKLYN 11219,,,,,,,Information to come
Yeshiva Boyan,KANO,YESHIVA BOYAN,KANO,1205 44 STREET BROOKLYN 11219,,,,,,,Information to come
Universal Pre-K C.B.O.,K715,YESHIVA BOYAN,KANO,1205 44 STREET BROOKLYN 11219,,,,,,,Information to come
Yeshiva Derech Hatorah,KANR,YESHIVA DERECH HATORAH,KANR,2810 NOSTRAND AVENUE BROOKLYN 11229,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72B,YESHIVA DERECH HATORAH,KANR,2810 NOSTRAND AVENUE BROOKLYN 11229,Yes,No,N/A,,,,
Butterfly Day Care Center,KBUF,YESHIVA DERECH HATORAH,KANR,2810 NOSTRAND AVENUE BROOKLYN 11229,Yes,No,N/A,,,,
Yeshiva Karlin Stolin,KANX,YESHIVA KARLIN STOLIN,KANX,1801 55 STREET BROOKLYN 11204,,,,,,,Information to come
Universal Pre-K C.B.O.,K72A,YESHIVA KARLIN STOLIN,KANX,1801 55 STREET BROOKLYN 11204,,,,,,,Information to come
Universal Pre-K C.B.O.,K720,YESHIVA KEHILATH YAKOV,KAOA,1402 40 STREET BROOKLYN 11218,Yes,No,N/A,,,,
